evidence_id,domain,source_id,source_type,source_name,article,paragraph,page,section,original_text,effective_date,source_url,retrieved_at,applies_to,data_type,processing_context,condition,required_action,prohibition,exception,gateway_tags,review_status
EV-00001,PRIVACY,law_pipa,law,개인정보 보호법,제28조의2,①,,,"개인정보처리자는 통계작성, 과학적 연구, 공익적 기록보존 등을 위하여 정보주체의 동의 없이 가명정보를 처리할 수 있다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]","통계작성, 과학적 연구, 공익적 기록보존",[],[],"[""동의 없이""]","[""ALLOW"", ""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00002,PRIVACY,law_pipa,law,개인정보 보호법,제28조의2,②,,,개인정보처리자는 제1항에 따라 가명정보를 제3자에게 제공하는 경우에는 특정 개인을 알아보기 위하여 사용될 수 있는 정보를 포함해서는 아니 된다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing"", ""third_party_or_outsourcing""]",제3자에게 제공하는 경우,[],"[""포함해서는 아니 된다""]",[],"[""BLOCK"", ""PSEUDONYMIZE"", ""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
EV-00003,PRIVACY,law_pipa,law,개인정보 보호법,제28조의3,①,,,"제28조의2에도 불구하고 통계작성, 과학적 연구, 공익적 기록보존 등을 위한 서로 다른 개인정보처리자 간의 가명정보의 결합은 보호위원회 또는 관계 중앙행정기관의 장이 지정하는 전문기관이 수행한다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]","통계작성, 과학적 연구, 공익적 기록보존","[""서로 다른 개인정보처리자 간의 가명정보의 결합은 보호위원회 또는 관계 중앙행정기관의 장이 지정하는 전문기관이 수행한다""]",[],"[""제28조의2에도 불구하고""]","[""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00004,PRIVACY,law_pipa,law,개인정보 보호법,제28조의3,②,,,결합을 수행한 기관 외부로 결합된 정보를 반출하려는 개인정보처리자는 가명정보 또는 제58조의2에 해당하는 정보로 처리한 뒤 전문기관의 장의 승인을 받아야 한다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]",기관 외부로 결합된 정보를 반출하려는,"[""가명정보 또는 제58조의2에 해당하는 정보로 처리한 뒤 전문기관의 장의 승인을 받아야 한다""]",[],[],"[""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00005,PRIVACY,law_pipa,law,개인정보 보호법,제28조의3,③,,,"제1항에 따른 결합 절차와 방법, 전문기관의 지정과 지정 취소 기준ㆍ절차, 관리ㆍ감독, 제2항에 따른 반출 및 승인 기준ㆍ절차 등 필요한 사항은 대통령령으로 정한다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,,[],[],,[],[],[],"[""REVIEW""]",REVIEW_REQUIRED
EV-00006,PRIVACY,law_pipa,law,개인정보 보호법,제28조의4,①,,,개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 경우에는 원래의 상태로 복원하기 위한 추가 정보를 별도로 분리하여 보관ㆍ관리하는 등 해당 정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 않도록 대통령령으로 정하는 바에 따라 안전성 확보에 필요한 기술적ㆍ관리적 및 물리적 조치를 하여야 한다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]",가명정보를 처리하는 경우,"[""원래의 상태로 복원하기 위한 추가 정보를 별도로 분리하여 보관ㆍ관리하는 등 해당 정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 않도록 대통령령으로 정하는 바에 따라 안전성 확보에 필요한 기술적ㆍ관리적 및 물리적 조치를 하여야 한다""]",[],[],"[""LOG"", ""PSEUDONYMIZE"", ""SEPARATE_MAPPING"", ""REVIEW""]",REVIEW_REQUIRED
EV-00007,PRIVACY,law_pipa,law,개인정보 보호법,제28조의4,②,,,개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 경우 처리목적 등을 고려하여 가명정보의 처리 기간을 별도로 정할 수 있다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]",가명정보를 처리하는 경우,[],[],[],"[""ALLOW"", ""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00008,PRIVACY,law_pipa,law,개인정보 보호법,제28조의4,③,,,"개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하고자 하는 경우에는 가명정보의 처리 목적, 제3자 제공 시 제공받는 자, 가명정보의 처리 기간 등 가명정보의 처리 내용을 관리하기 위하여 대통령령으로 정하는 사항에 대한 관련 기록을 작성하여 보관하여야 하며, 가명정보를 파기한 경우에는 파기한 날부터 3년 이상 보관하여야 한다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing"", ""third_party_or_outsourcing""]",가명정보를 처리하고자 하는 경우,"[""가명정보의 처리 목적, 제3자 제공 시 제공받는 자, 가명정보의 처리 기간 등 가명정보의 처리 내용을 관리하기 위하여 대통령령으로 정하는 사항에 대한 관련 기록을 작성하여 보관하여야 하며, 가명정보를 파기한 경우에는 파기한 날부터 3년 이상 보관하여야 한다""]",[],[],"[""LOG"", ""PSEUDONYMIZE"", ""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
EV-00009,PRIVACY,law_pipa,law,개인정보 보호법,제28조의5,①,,,제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 자는 특정 개인을 알아보기 위한 목적으로 가명정보를 처리해서는 아니 된다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 자,"[""가명정보""]","[""pseudonymized_data_processing""]",특정 개인을 알아보기 위한 목적,[],"[""특정 개인을 알아보기 위한 목적으로 가명정보를 처리해서는 아니 된다""]",[],"[""BLOCK"", ""NO_REIDENTIFICATION"", ""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00010,PRIVACY,law_pipa,law,개인정보 보호법,제28조의5,②,,,"개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 과정에서 특정 개인을 알아볼 수 있는 정보가 생성된 경우에는 즉시 해당 정보의 처리를 중지하고, 지체 없이 회수ㆍ파기하여야 한다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T11:32:00+09:00,개인정보처리자,"[""가명정보""]","[""pseudonymized_data_processing""]",특정 개인을 알아볼 수 있는 정보가 생성된 경우,"[""처리를 중지하고, 지체 없이 회수ㆍ파기하여야 한다""]",[],[],"[""PSEUDONYMIZE"", ""REVIEW""]",REVIEW_REQUIRED
EV-00011,PRIVACY,law_credit_info,decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,①,,,"법 제37조제1항에 따라 개인인 신용정보주체는 동의 철회의 대상 및 내용 등을 특정하여 해당 기관의 인터넷 홈페이지, 유무선 통신, 서면, 그 밖에 금융위원회가 정하여 고시하는 방법으로 동의를 철회할 수 있다.",2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,개인인 신용정보주체,[],[],,[],[],[],"[""ALLOW"", ""REVIEW""]",REVIEW_REQUIRED
EV-00012,PRIVACY,law_credit_info,decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,②,,,법 제37조제2항에 따라 개인인 신용정보주체는 상품이나 용역을 소개하거나 구매를 권유할 목적으로 연락하는 신용정보제공ㆍ이용자에 대하여 연락중지 청구의 대상 및 내용을 특정하여 제1항의 방법으로 본인에게 연락하는 것을 중지할 것을 청구할 수 있다.,2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,신용정보제공ㆍ이용자,[],[],,[],[],[],"[""ALLOW"", ""REVIEW""]",REVIEW_REQUIRED
EV-00013,PRIVACY,law_credit_info,decree,신용정보의 이용 및 보호에 관한 법률 시행령,제32조,③,,,제1항 및 제2항에 따른 청구를 받은 신용정보제공ㆍ이용자는 청구를 받은 날부터 1개월 이내에 그에 따른 조치를 완료하여야 한다.,2026-08-13,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=108619,2026-08-26T11:32:00+09:00,신용정보제공ㆍ이용자,[],[],청구를 받은 날부터 1개월 이내,"[""청구를 받은 날부터 1개월 이내에 그에 따른 조치를 완료하여야 한다""]",[],[],[],VERIFIED
EV-00014,PRIVACY,law_pipa,law,개인정보 보호법,제26조,①,,,개인정보처리자가 제3자에게 개인정보의 처리 업무를 위탁하는 경우에는 다음 각 호의 내용이 포함된 문서로 하여야 한다.,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,개인정보처리자,"[""개인정보""]","[""third_party_or_outsourcing""]",제3자에게 개인정보의 처리 업무를 위탁하는 경우,"[""다음 각 호의 내용이 포함된 문서로 하여야 한다""]",[],[],"[""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
EV-00015,PRIVACY,law_pipa,law,개인정보 보호법,제26조,①-1,,,위탁업무 수행 목적 외 개인정보의 처리 금지에 관한 사항,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,,"[""개인정보""]","[""third_party_or_outsourcing""]",위탁업무 수행 목적 외,[],"[""위탁업무 수행 목적 외 개인정보의 처리 금지""]",[],"[""BLOCK"", ""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
EV-00016,PRIVACY,law_pipa,law,개인정보 보호법,제26조,①-2,,,개인정보의 기술적ㆍ관리적 보호조치에 관한 사항,2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,,"[""개인정보""]",[],,"[""개인정보의 기술적ㆍ관리적 보호조치""]",[],[],"[""REVIEW""]",REVIEW_REQUIRED
EV-00017,PRIVACY,law_pipa,law,개인정보 보호법,제26조,②,,,"제1항에 따라 개인정보의 처리 업무를 위탁하는 개인정보처리자(이하 ""위탁자""라 한다)는 위탁하는 업무의 내용과 개인정보 처리 업무를 위탁받아 처리하는 자(개인정보 처리 업무를 위탁받아 처리하는 자로부터 위탁받은 업무를 다시 위탁받은 제3자를 포함하며, 이하 ""수탁자""라 한다)를 정보주체가 언제든지 쉽게 확인할 수 있도록 대통령령으로 정하는 방법에 따라 공개하여야 한다.",2025-10-02,https://law.go.kr/LSW/lsInfoP.do?lsiSeq=270351,2026-08-26T12:31:32+09:00,위탁자,"[""개인정보""]","[""third_party_or_outsourcing""]",제1항에 따라 개인정보의 처리 업무를 위탁하는,"[""위탁하는 업무의 내용과 개인정보 처리 업무를 위탁받아 처리하는 자를 정보주체가 언제든지 쉽게 확인할 수 있도록 대통령령으로 정하는 방법에 따라 공개하여야 한다""]",[],[],"[""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
