evidence_id,domain,source_id,source_type,source_name,article,paragraph,page,section,original_text,effective_date,source_url,retrieved_at,applies_to,data_type,processing_context,condition,required_action,prohibition,exception,gateway_tags,review_status
EV-00050,DIGITAL_ASSET,law_virtual_asset_user_protection,law,가상자산 이용자 보호 등에 관한 법률,제6조,①,,,"가상자산사업자는 이용자의 예치금(이용자로부터 가상자산의 매매, 매매의 중개, 그 밖의 영업행위와 관련하여 예치받은 금전을 말한다. 이하 같다)을 고유재산과 분리하여 「은행법」에 따른 은행 등 대통령령으로 정하는 공신력 있는 기관(이하 “관리기관”이라 한다)에 대통령령으로 정하는 방법에 따라 예치 또는 신탁하여 관리하여야 한다.",2024-07-19,https://www.law.go.kr/LSW/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027796579,2026-08-26T15:34:42+09:00,가상자산사업자,"[""이용자의 예치금""]","[""digital_asset_activity"", ""asset_safeguarding""]","이용자로부터 가상자산의 매매, 매매의 중개, 그 밖의 영업행위와 관련하여 예치받은 금전","[""이용자의 예치금을 고유재산과 분리하여 공신력 있는 기관에 대통령령으로 정하는 방법에 따라 예치 또는 신탁하여 관리하여야 한다""]",[],[],"[""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00051,DIGITAL_ASSET,law_virtual_asset_user_protection,law,가상자산 이용자 보호 등에 관한 법률,제6조,③,,,"누구든지 제1항에 따라 관리기관에 예치 또는 신탁한 예치금을 상계ㆍ압류(가압류를 포함한다)하지 못하며, 예치금을 예치 또는 신탁한 가상자산사업자는 대통령령으로 정하는 경우 외에는 관리기관에 예치 또는 신탁한 예치금을 양도하거나 담보로 제공하여서는 아니된다.",2024-07-19,https://www.law.go.kr/LSW/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027796579,2026-08-26T15:34:42+09:00,누구든지; 가상자산사업자,"[""예치금""]","[""digital_asset_activity"", ""asset_safeguarding""]",관리기관에 예치 또는 신탁한 예치금,[],"[""예치금을 상계ㆍ압류하지 못하며, 대통령령으로 정하는 경우 외에는 예치금을 양도하거나 담보로 제공하여서는 아니된다""]","[""대통령령으로 정하는 경우""]","[""BLOCK"", ""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00052,DIGITAL_ASSET,law_virtual_asset_user_protection_decree,decree,가상자산 이용자 보호 등에 관한 법률 시행령,제8조,②,,,"가상자산사업자는 법 제6조제1항에 따라 이용자의 예치금(이용자로부터 가상자산의 매매, 매매의 중개, 그 밖의 영업행위와 관련하여 예치받은 금전을 말한다. 이하 같다)을 고유재산과 분리하여 제1항 각 호의 기관(이하 “관리기관”이라 한다)에 예치 또는 신탁하여 관리할 때에는 해당 관리기관과 다음 각 호의 사항이 포함된 계약을 체결해야 한다.",2025-04-23,https://www.law.go.kr/LSW/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027797047,2026-08-26T15:34:42+09:00,가상자산사업자,"[""이용자의 예치금""]","[""digital_asset_activity"", ""asset_safeguarding""]",이용자의 예치금을 고유재산과 분리하여 관리기관에 예치 또는 신탁하여 관리할 때,"[""해당 관리기관과 다음 각 호의 사항이 포함된 계약을 체결해야 한다""]",[],[],"[""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00053,DIGITAL_ASSET,law_special_financial_info,law,특정 금융거래정보의 보고 및 이용 등에 관한 법률,제2조,1-하,,,「가상자산 이용자 보호 등에 관한 법률」 제2조제2호에 따른 가상자산사업자(이하 “가상자산사업자”라 한다),2026-08-20,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027653489,2026-08-26T15:34:42+09:00,가상자산사업자,"[""가상자산사업자""]","[""digital_asset_activity""]",금융회사등의 정의,[],[],[],"[""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00054,DIGITAL_ASSET,law_special_financial_info,law,특정 금융거래정보의 보고 및 이용 등에 관한 법률,제2조,2-라,,,가상자산사업자가 「가상자산 이용자 보호 등에 관한 법률」에 따라 수행하는 업무(이하 “가상자산거래”라 한다),2026-08-20,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027653489,2026-08-26T15:34:42+09:00,가상자산사업자,"[""가상자산거래""]","[""digital_asset_activity"", ""transaction_data""]",금융거래등의 정의,[],[],[],"[""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00055,DIGITAL_ASSET,law_special_financial_info,law,특정 금융거래정보의 보고 및 이용 등에 관한 법률,제2조,3,,,“가상자산”이란 「가상자산 이용자 보호 등에 관한 법률」 제2조제1호에 따른 가상자산을 말한다.,2026-08-20,https://www.law.go.kr/lsLinkCommonInfo.do?chrClsCd=010202&lsJoLnkSeq=1027653489,2026-08-26T15:34:42+09:00,,"[""가상자산""]","[""digital_asset_activity""]",가상자산의 정의,[],[],[],"[""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00056,DIGITAL_ASSET,law_special_financial_info_decree,decree,특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령,제10조의10,2,,,가상자산을 이전하는 가상자산사업자는 가상자산을 이전받는 가상자산사업자에게 다음 각 목의 정보를 제공할 것,2026-08-20,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288765,2026-08-26T15:34:42+09:00,가상자산을 이전하는 가상자산사업자,"[""가상자산 이전 정보""]","[""digital_asset_activity"", ""transaction_data"", ""third_party_or_outsourcing""]",가상자산을 이전하는 경우,"[""가상자산을 이전받는 가상자산사업자에게 다음 각 목의 정보를 제공할 것""]",[],[],"[""DIGITAL_ASSET"", ""THIRD_PARTY_TRANSFER"", ""REVIEW""]",REVIEW_REQUIRED
EV-00057,DIGITAL_ASSET,law_special_financial_info_decree,decree,특정 금융거래정보의 보고 및 이용 등에 관한 법률 시행령,제10조의10,2-나,,,가상자산을 보내는 고객과 가상자산을 받는 고객의 가상자산주소(가상자산의 전송 기록 및 보관 내역의 관리를 위해 전자적으로 생성시킨 고유식별번호를 말한다),2026-08-20,https://www.law.go.kr/LSW/lsInfoP.do?lsiSeq=288765,2026-08-26T15:34:42+09:00,가상자산을 이전하는 가상자산사업자,"[""가상자산주소""]","[""digital_asset_activity"", ""transaction_data"", ""wallet_address""]",가상자산이전 시 정보제공,"[""가상자산을 보내는 고객과 가상자산을 받는 고객의 가상자산주소를 제공할 것""]",[],[],"[""DIGITAL_ASSET"", ""WALLET"", ""LOG"", ""REVIEW""]",REVIEW_REQUIRED
EV-00058,DIGITAL_ASSET,fsc_virtual_asset_policy_20260811,official_policy,가상자산시장의 투명성 강화를 위한 「특정금융정보법 시행령」 개정안 국무회의 의결,,,,가상자산 이전거래 관련 자금세탁방지의무 부과,"트래블룰 기준금액(100만원) 폐지, 해외 가상자산사업자 및 개인지갑 과의 거래 관련 자금세탁방지 의무(위험도에 따른 거래허용범위 차등화 등) 부과",2026-08-11,https://www.fsc.go.kr/po010103/87499,2026-08-26T15:34:42+09:00,가상자산사업자,"[""가상자산 이전거래"", ""개인지갑""]","[""digital_asset_activity"", ""wallet_address"", ""transaction_data""]",해외 가상자산사업자 및 개인지갑과의 거래,"[""자금세탁방지 의무 부과""]",[],[],"[""DIGITAL_ASSET"", ""WALLET"", ""REVIEW""]",REVIEW_REQUIRED
EV-00059,DIGITAL_ASSET,fiu_aml_cdd_guide,official_policy,금융정보분석원 자금세탁방지제도 안내,,,,고객확인제도(CDD),"금융기관이 고객과 거래 시 고객의 신원, 실제소유자 여부, 거래 목적 등을 파악하는 등 합당한 주의를 기울이는 제도입니다.",,https://www.kofiu.go.kr/kor/policy/guide04.do,2026-08-26T15:34:42+09:00,금융기관,"[""고객 신원"", ""실제소유자 여부"", ""거래 목적""]","[""customer_due_diligence"", ""digital_asset_activity""]",고객과 거래 시,"[""고객의 신원, 실제소유자 여부, 거래 목적 등을 파악하는 등 합당한 주의를 기울이는 제도""]",[],[],"[""DETECT"", ""DIGITAL_ASSET"", ""REVIEW""]",REVIEW_REQUIRED
